ticker,nome
EXXO34.SA,EXXON MOBIL 
EZTC3.SA,EZTEC       
F1NI34.SA,FIDELITY NAT
FAED11.SA,FII ANH EDUC
FAMB11B.SA,FII ALMIRANT
FASL34.SA,FASTENAL    
FBMC4.SA,FIBAM       
FBOK34.SA,FACEBOOK    
FCCQ11.SA,FIP CONQUEST
FCFL11.SA,FII CAMPUSFL
FCXO34.SA,FREEPORT    
FDES11.SA,FUNDES      
FDMO34.SA,FORD MOTORS 
FDXB34.SA,FEDEX CORP  
FESA3.SA,FERBASA     
FESA4.SA,FERBASA     
FEXC11.SA,FII EXCELLEN
FFCI11.SA,FII RIOB RC 
FFTD34.SA,FIFTH THIRD 
FHER3.SA,FER HERINGER
FIBR3.SA,FIBRIA      
FIGS11.SA,FII GEN SHOP
FIIB11.SA,FII INDL BR 
FIIP11B.SA,FII RB CAP I
FIND11.SA,IT NOW IFNC 
FISC11.SA,FII SC 401  
FIVN11.SA,FII VIDANOVA
FIXX11.SA,FII FATORFIX
FJTA11.SA,FORJA TAURUS
FJTA13.SA,FORJA TAURUS
FJTA15.SA,FORJA TAURUS
FJTA17.SA,FORJA TAURUS
FJTA3.SA,FORJA TAURUS
FJTA4.SA,FORJA TAURUS
FLMA11.SA,FII S F LIMA
FLRP11.SA,FII FLORIPA 
FLRY3.SA,FLEURY      
FLTC34.SA,FLEETCOR TEC
FMOF11.SA,FII MEMORIAL
FMSC34.SA,FRESENIUS   
FMXB34.SA,FEMSA       
FNAM11.SA,FINAM       
FNOR11.SA,FINOR       
FOFT11.SA,FII HTOPFOF2
FOXC34.SA,FOX CORP    
FPAB11.SA,FII A BRANCA
FPOR11.SA,FIP PORT SUD
FRAS3.SA,FRAS-LE     
FRBR11.SA,FII RBR PCRI
FRIO3.SA,METALFRIO   
FRTA3.SA,POMIFRUTAS  
FSLR34.SA,FIRST SOLAR 
FSPE11.SA,FISET PESCA 
FSRF11.SA,FISET FL REF
FSTU11.SA,FISET TUR   
FVBI11.SA,FII VBI 4440
FVPQ11.SA,FII V PARQUE
GBIO33.SA,BIOTOSCANA  
GDBR34.SA,GEN DYNAMICS
GEOO34.SA,GE          
GEPA3.SA,GER PARANAP 
GEPA4.SA,GER PARANAP 
GFSA1.SA,GAFISA      
GFSA3.SA,GAFISA      
GFSA9.SA,GAFISA      
GGBR3.SA,GERDAU      
GGBR4.SA,GERDAU      
GGRC11.SA,FII GGRCOVEP
GILD34.SA,GILEAD      
GMCO34.SA,GENERAL MOT 
GNDI3.SA,INTERMEDICA 
GOAU3.SA,GERDAU MET  
GOAU4.SA,GERDAU MET  
GOGL34.SA,ALPHABET    
